customer_key,customer_id,first_name,last_name,email,loyalty_status,segment,region
68,CUST00068,Stephanie,Fischer,kaylabyrd@example.com,Bronze,Wholesale,West
69,CUST00069,Sandra,Sandoval,johnbates@example.net,Silver,Wholesale,North
70,CUST00070,Caleb,Osborne,ischneider@example.org,Gold,Premium,East
71,CUST00071,Cynthia,Hamilton,smithbethany@example.net,Platinum,Wholesale,North
72,CUST00072,Maurice,Harrington,ftorres@example.org,Platinum,Premium,South
73,CUST00073,Wesley,Perry,nnielsen@example.com,Silver,Premium,West
74,CUST00074,Jared,Smith,rgross@example.net,Gold,Wholesale,North
75,CUST00075,Sean,Potts,mdunn@example.com,Gold,Wholesale,West
76,CUST00076,Anthony,Riley,zsmith@example.net,Silver,Premium,East
77,CUST00077,Annette,Lawson,staceyperez@example.com,Silver,Wholesale,North
78,CUST00078,Walter,Delacruz,rhonda32@example.org,Silver,Premium,South
79,CUST00079,Jose,Page,pattersondonald@example.net,Gold,Standard,South
80,CUST00080,Brian,Moore,jessica06@example.com,Platinum,Standard,South
81,CUST00081,Benjamin,Ross,benjaminlopez@example.org,Silver,Wholesale,West
82,CUST00082,Katie,Ross,kim42@example.com,Gold,Wholesale,South
83,CUST00083,Jeremy,Calderon,kmcdonald@example.com,Bronze,Wholesale,North
84,CUST00084,Shannon,Nichols,eugenejones@example.net,Silver,Wholesale,South
85,CUST00085,Samuel,Vasquez,colliermark@example.org,Gold,Wholesale,West
86,CUST00086,Michael,Guzman,pwilliams@example.org,Silver,Wholesale,West
87,CUST00087,Raymond,Beard,nicholstimothy@example.net,Bronze,Premium,East
88,CUST00088,Dana,Davidson,stephanie46@example.org,Gold,Wholesale,South
89,CUST00089,John,Garcia,kbailey@example.net,Bronze,Premium,West
90,CUST00090,David,Ruiz,woodsrobert@example.net,Platinum,Standard,North
91,CUST00091,Frank,Bishop,brittney78@example.net,Bronze,Standard,East
92,CUST00092,Brooke,Montgomery,monroealbert@example.org,Bronze,Premium,West
93,CUST00093,Shelby,Reeves,washingtontara@example.org,Bronze,Premium,North
94,CUST00094,Sylvia,Townsend,hopkinssergio@example.com,Gold,Standard,East
95,CUST00095,Jessica,White,emily84@example.net,Gold,Premium,East
96,CUST00096,Shannon,Haynes,adrian67@example.com,Bronze,Standard,North
97,CUST00097,Benjamin,Love,uaguilar@example.net,Platinum,Wholesale,South
98,CUST00098,Daniel,King,evaughn@example.net,Bronze,Premium,North
99,CUST00099,Dana,Romero,isloan@example.org,Bronze,Standard,West
100,CUST00100,Cynthia,Williams,wrightthomas@example.org,Platinum,Premium,South
101,CUST00101,Cynthia,Barrett,schmidtregina@example.org,Bronze,Wholesale,East
102,CUST00102,Julie,Davila,ashley72@example.com,Gold,Premium,North
103,CUST00103,John,Williams,mcgeepaul@example.org,Bronze,Standard,South
104,CUST00104,Kayla,Cook,xross@example.net,Bronze,Standard,North
105,CUST00105,Matthew,Martinez,charlesnelson@example.com,Bronze,Standard,North
106,CUST00106,Javier,Sharp,kimberly17@example.com,Bronze,Premium,West
107,CUST00107,Joseph,Cooke,pware@example.org,Gold,Premium,East
108,CUST00108,Isaac,Young,amyhamilton@example.com,Platinum,Premium,East
109,CUST00109,Victoria,Peterson,haguilar@example.net,Platinum,Premium,North
110,CUST00110,Michael,Mitchell,brittanydudley@example.org,Platinum,Standard,South
111,CUST00111,Julie,Allen,amy62@example.net,Gold,Standard,West
112,CUST00112,Heather,Stafford,toddchristine@example.com,Silver,Standard,South
113,CUST00113,Stephanie,Morris,javiersnyder@example.org,Gold,Wholesale,West
114,CUST00114,Sara,Thompson,robinsonchad@example.org,Silver,Wholesale,West
115,CUST00115,Beverly,Collins,ericowens@example.org,Gold,Premium,North
116,CUST00116,April,Ford,alexanderjonathan@example.net,Silver,Wholesale,North
117,CUST00117,Christopher,Stewart,saraharnold@example.com,Platinum,Wholesale,South
118,CUST00118,Teresa,Lopez,kross@example.org,Silver,Standard,North
119,CUST00119,Bryan,Ramos,alishanguyen@example.net,Gold,Premium,East
120,CUST00120,Lee,Phillips,erichahn@example.net,Silver,Premium,East
121,CUST00121,Eric,Stevens,joshua10@example.com,Silver,Standard,West
122,CUST00122,Courtney,Lewis,wserrano@example.org,Platinum,Standard,West
123,CUST00123,Joseph,Benson,fosterjoshua@example.com,Gold,Wholesale,South
124,CUST00124,Sara,Wagner,laurennelson@example.net,Bronze,Premium,South
125,CUST00125,Benjamin,Gutierrez,benjaminmartinez@example.org,Platinum,Wholesale,West
126,CUST00126,Amanda,Thomas,hwood@example.com,Gold,Standard,North
127,CUST00127,Robert,Gomez,patricia99@example.com,Platinum,Standard,North
128,CUST00128,Dylan,Thompson,toddperry@example.org,Bronze,Standard,South
129,CUST00129,Norman,Fischer,carolyn73@example.net,Gold,Premium,West
130,CUST00130,Joshua,Carroll,wilkinspatrick@example.org,Platinum,Wholesale,East
131,CUST00131,Laura,Mason,vanessa85@example.com,Gold,Premium,North
132,CUST00132,Christine,Mitchell,mark55@example.com,Platinum,Premium,West
133,CUST00133,Stephanie,Mcintosh,anthonylarson@example.com,Silver,Wholesale,East
134,CUST00134,David,Hubbard,houstonandrea@example.net,Gold,Wholesale,North
135,CUST00135,Philip,Yang,lrose@example.net,Silver,Premium,North
136,CUST00136,Erik,Steele,perezsteven@example.org,Bronze,Wholesale,South
137,CUST00137,Austin,Rush,bjones@example.com,Silver,Standard,East
138,CUST00138,Tiffany,Steele,alawson@example.com,Platinum,Premium,North
139,CUST00139,Kim,Bennett,brettlynch@example.com,Platinum,Standard,West
140,CUST00140,Keith,Mitchell,christophersmith@example.org,Bronze,Premium,West
141,CUST00141,Tiffany,Mendoza,boydann@example.net,Bronze,Premium,West
142,CUST00142,Joshua,Richardson,leoncampbell@example.net,Gold,Premium,North
143,CUST00143,Jenna,Liu,thoward@example.net,Bronze,Premium,South
144,CUST00144,Jennifer,Harris,christinawilliams@example.com,Bronze,Standard,North
145,CUST00145,Tonya,French,matthewsmark@example.net,Platinum,Wholesale,East
146,CUST00146,Dana,Martin,nancy74@example.net,Gold,Wholesale,West
147,CUST00147,Scott,Gomez,janet18@example.org,Gold,Premium,South
148,CUST00148,Michael,Reese,madison16@example.com,Gold,Standard,South
149,CUST00149,Lindsay,Smith,jon34@example.com,Gold,Premium,West
150,CUST00150,Ruth,Knight,dwelch@example.com,Bronze,Wholesale,South
151,CUST00151,Mitchell,Palmer,abigail88@example.com,Bronze,Premium,West
152,CUST00152,Elizabeth,Moreno,waterssarah@example.com,Platinum,Premium,North
153,CUST00153,Jason,Mckinney,berryalexandra@example.net,Bronze,Wholesale,East
154,CUST00154,Joshua,Miller,william14@example.org,Bronze,Wholesale,North
155,CUST00155,Madison,Bryant,sharoncline@example.org,Platinum,Wholesale,South
156,CUST00156,Shelly,Morgan,desiree94@example.net,Silver,Premium,South
157,CUST00157,Helen,Lynch,danielmueller@example.com,Gold,Premium,East
158,CUST00158,Sharon,Peterson,dsanchez@example.net,Silver,Premium,North
159,CUST00159,Robert,Russell,ocooper@example.net,Silver,Wholesale,East
160,CUST00160,Jenna,Welch,benjamin13@example.net,Silver,Wholesale,North
161,CUST00161,Miguel,Taylor,abigail80@example.org,Silver,Wholesale,West
162,CUST00162,Daniel,Ramos,ylane@example.com,Bronze,Premium,North
163,CUST00163,John,Rivera,jenniferburns@example.net,Silver,Premium,East
164,CUST00164,Christina,Thompson,cindywatson@example.net,Bronze,Wholesale,South
165,CUST00165,Timothy,Wilson,jack16@example.net,Silver,Premium,North
166,CUST00166,Brian,Patel,ebutler@example.com,Bronze,Premium,North
167,CUST00167,Connor,Meadows,rebeccacastillo@example.net,Platinum,Wholesale,North
168,CUST00168,Paul,Frederick,matthew60@example.net,Platinum,Premium,South
169,CUST00169,Christopher,Russell,joshua20@example.org,Bronze,Standard,West
170,CUST00170,Shelia,Church,garciasharon@example.net,Bronze,Standard,North
171,CUST00171,Nichole,Rodriguez,tinahunter@example.net,Silver,Wholesale,East
172,CUST00172,Jessica,Willis,amysmith@example.net,Platinum,Premium,West
173,CUST00173,Eddie,Hodge,david78@example.org,Platinum,Standard,East
174,CUST00174,Patrick,Fitzgerald,cynthiacampbell@example.net,Platinum,Standard,West
175,CUST00175,Kevin,Pennington,gilberttiffany@example.com,Platinum,Standard,East
176,CUST00176,Ashley,Howard,cwagner@example.net,Silver,Premium,South
177,CUST00177,Thomas,Rodriguez,christopher86@example.com,Silver,Premium,North
178,CUST00178,Melissa,Reynolds,brady61@example.com,Gold,Wholesale,West
179,CUST00179,Scott,Vincent,foxbrian@example.org,Gold,Wholesale,South
180,CUST00180,Chelsea,Ortiz,michael01@example.com,Bronze,Wholesale,South
181,CUST00181,Cheryl,Doyle,millerthomas@example.net,Gold,Wholesale,East
182,CUST00182,Catherine,Hill,sheilamartin@example.com,Gold,Wholesale,West
183,CUST00183,Dennis,George,nrobinson@example.com,Bronze,Premium,East
184,CUST00184,Nicholas,Williams,sabrinadavis@example.com,Bronze,Standard,West
185,CUST00185,Molly,Harvey,margaret00@example.org,Gold,Wholesale,West
186,CUST00186,Amber,Garcia,josephreese@example.net,Bronze,Standard,South
187,CUST00187,Matthew,Huang,diana92@example.com,Silver,Premium,East
188,CUST00188,Stephanie,Ray,hramos@example.net,Platinum,Premium,West
189,CUST00189,Catherine,Rosales,christopher74@example.com,Bronze,Standard,North
190,CUST00190,Darrell,Cline,heatherbrown@example.org,Silver,Standard,South
191,CUST00191,Danny,Bailey,bdonovan@example.org,Bronze,Wholesale,West
192,CUST00192,Jacqueline,Rose,bsimpson@example.com,Platinum,Wholesale,North
193,CUST00193,Evelyn,Dennis,mtodd@example.org,Bronze,Standard,North
194,CUST00194,Matthew,Clark,matthew37@example.net,Silver,Wholesale,West
195,CUST00195,Marissa,Garcia,tony56@example.org,Platinum,Wholesale,North
196,CUST00196,Timothy,Smith,rrose@example.net,Platinum,Premium,North
197,CUST00197,Stanley,Best,ucollins@example.org,Bronze,Wholesale,West
198,CUST00198,Becky,Bailey,alicia04@example.org,Silver,Wholesale,East
199,CUST00199,Michelle,Zhang,murphyjeffrey@example.com,Gold,Wholesale,East
200,CUST00200,Jared,Lee,nathan46@example.com,Bronze,Premium,North
201,CUST00201,Nicholas,Williams,mhernandez@example.net,Bronze,Wholesale,East
202,CUST00202,Sergio,Fox,beckywebb@example.net,Platinum,Wholesale,North
203,CUST00203,Crystal,Nielsen,wpeters@example.com,Silver,Standard,South
204,CUST00204,Michael,Trujillo,martinrichard@example.com,Bronze,Standard,North
205,CUST00205,Amy,Nelson,jenniferparks@example.net,Gold,Standard,West
206,CUST00206,Beverly,Young,brianna63@example.com,Bronze,Wholesale,West
207,CUST00207,Heather,Richards,grayelaine@example.net,Gold,Standard,East
208,CUST00208,David,Sutton,gmurphy@example.org,Gold,Premium,West
209,CUST00209,Sarah,Lopez,cdavis@example.net,Gold,Standard,South
210,CUST00210,Jennifer,Roman,sarahmartinez@example.org,Bronze,Standard,West
211,CUST00211,Jamie,Cameron,erin57@example.com,Bronze,Standard,West
212,CUST00212,Laura,Smith,vmitchell@example.net,Silver,Wholesale,West
213,CUST00213,Ray,Ortiz,dennis20@example.com,Gold,Wholesale,West
214,CUST00214,Hannah,Collier,stacyking@example.org,Silver,Standard,East
215,CUST00215,Matthew,Marshall,samanthamartinez@example.net,Bronze,Premium,South
216,CUST00216,Mary,Taylor,martinezlaura@example.net,Bronze,Wholesale,North
217,CUST00217,Sarah,Cook,slopez@example.com,Silver,Wholesale,East
218,CUST00218,Tammy,Thompson,mathew29@example.net,Silver,Wholesale,West
219,CUST00219,Lucas,Smith,briangonzalez@example.org,Silver,Standard,North
220,CUST00220,Stephen,Gill,david79@example.com,Silver,Standard,West
221,CUST00221,John,Russo,kristi28@example.org,Bronze,Wholesale,East
222,CUST00222,Joshua,Graham,alyssalynn@example.net,Gold,Premium,West
223,CUST00223,Carol,Gray,denniswilson@example.com,Gold,Standard,South
224,CUST00224,Anna,Petty,justin02@example.com,Platinum,Premium,East
225,CUST00225,Kelly,Reeves,mwade@example.org,Gold,Standard,South
226,CUST00226,John,Nelson,schwartzmonica@example.org,Platinum,Wholesale,South
227,CUST00227,Shawn,Brown,nwhite@example.net,Platinum,Standard,West
228,CUST00228,Sean,Edwards,dianamiller@example.com,Gold,Standard,North
229,CUST00229,John,Sandoval,michaelhenderson@example.com,Bronze,Wholesale,West
230,CUST00230,Krystal,Arnold,williamhayes@example.com,Platinum,Premium,East
231,CUST00231,Miranda,Williams,andrew84@example.net,Platinum,Wholesale,West
232,CUST00232,Trevor,Bell,walkertimothy@example.com,Silver,Premium,North
233,CUST00233,Douglas,Stone,smithdiana@example.org,Gold,Wholesale,West
234,CUST00234,Virginia,Mathews,meyersmark@example.com,Bronze,Wholesale,West
235,CUST00235,John,Williams,millerpaige@example.net,Platinum,Wholesale,West
236,CUST00236,Tracy,Howell,williamslinda@example.org,Platinum,Premium,South
237,CUST00237,Dustin,Orozco,katie56@example.net,Bronze,Wholesale,West
238,CUST00238,Edwin,Moore,justin49@example.org,Silver,Wholesale,East
239,CUST00239,Kristen,Lowe,myoung@example.org,Gold,Standard,East
240,CUST00240,Lori,Olsen,cassandrarichmond@example.net,Bronze,Wholesale,North
241,CUST00241,Debbie,Bauer,krystal82@example.com,Bronze,Standard,West
242,CUST00242,Emily,Miller,thutchinson@example.org,Silver,Standard,East
243,CUST00243,Christopher,Burns,aarontaylor@example.com,Bronze,Premium,East
244,CUST00244,Angela,Richards,stephenharrison@example.net,Silver,Premium,South
245,CUST00245,Brittany,Cunningham,starkjacob@example.com,Platinum,Standard,West
246,CUST00246,Paul,Smith,john06@example.org,Bronze,Premium,South
247,CUST00247,Raymond,Newton,alyssamccoy@example.com,Platinum,Wholesale,North
248,CUST00248,Sydney,Soto,xhart@example.com,Bronze,Wholesale,North
249,CUST00249,Jason,Wells,kristopherdavis@example.org,Silver,Premium,West
250,CUST00250,Stephanie,Lloyd,lcollins@example.net,Silver,Wholesale,North
251,CUST00251,Ryan,Rodriguez,jordananderson@example.com,Gold,Wholesale,East
252,CUST00252,Renee,Hopkins,meganflores@example.net,Platinum,Wholesale,North
253,CUST00253,Anthony,Powell,jamiebuckley@example.org,Gold,Premium,North
254,CUST00254,Kenneth,Davis,michelle08@example.com,Platinum,Wholesale,East
255,CUST00255,Keith,Wilkins,lcain@example.com,Bronze,Wholesale,North
256,CUST00256,Maria,Bautista,fklein@example.net,Gold,Premium,West
257,CUST00257,Jennifer,Garza,herrerabrian@example.com,Silver,Premium,North
258,CUST00258,Amanda,Maldonado,aprildean@example.com,Silver,Wholesale,West
259,CUST00259,Ashley,Curtis,ronaldortiz@example.net,Platinum,Wholesale,East
260,CUST00260,Susan,Sanchez,nturner@example.com,Platinum,Standard,West
261,CUST00261,Jessica,Wright,leekatherine@example.org,Platinum,Premium,North
262,CUST00262,Mark,Ford,carlasanders@example.org,Bronze,Wholesale,East
263,CUST00263,Mark,Mueller,aguilartracy@example.net,Silver,Standard,South
264,CUST00264,Phillip,Marquez,ashleemeyers@example.org,Gold,Standard,North
265,CUST00265,Jonathan,Bowman,bhammond@example.com,Platinum,Premium,South
266,CUST00266,Kristopher,Alvarado,mharris@example.net,Bronze,Standard,West
267,CUST00267,Jacqueline,Russell,patriciawilliamson@example.org,Bronze,Wholesale,West
268,CUST00268,Amanda,James,kingzachary@example.org,Bronze,Premium,South
269,CUST00269,Brandy,Fisher,oliverstephen@example.com,Bronze,Premium,North
270,CUST00270,Jasmine,Lopez,christopher97@example.org,Gold,Standard,South
271,CUST00271,Douglas,Fisher,thomasedward@example.net,Gold,Premium,East
272,CUST00272,Allison,King,bellashley@example.net,Gold,Wholesale,North
273,CUST00273,Bryan,Hawkins,brownpaula@example.com,Gold,Premium,East
274,CUST00274,Sierra,Weaver,patrick72@example.net,Silver,Wholesale,West
275,CUST00275,Julia,Martinez,joshua36@example.net,Silver,Wholesale,North
276,CUST00276,Dean,Burgess,zramirez@example.com,Silver,Wholesale,East
277,CUST00277,Adam,Gomez,hsantos@example.com,Bronze,Wholesale,South
278,CUST00278,Brittany,Clark,zacharyelliott@example.com,Silver,Premium,South
279,CUST00279,Valerie,Young,davidanderson@example.org,Platinum,Wholesale,West
280,CUST00280,Tony,Martinez,cpowell@example.org,Silver,Premium,North
281,CUST00281,Brittany,Hampton,nicolecobb@example.com,Gold,Premium,South
282,CUST00282,Robert,Davidson,aaronpatterson@example.net,Gold,Wholesale,North
283,CUST00283,Tiffany,Schultz,carolhanna@example.com,Bronze,Wholesale,North
284,CUST00284,Cindy,Hamilton,gregorycantrell@example.net,Gold,Standard,North
285,CUST00285,Molly,Hancock,laura88@example.net,Silver,Premium,South
286,CUST00286,Ann,Osborne,jhopkins@example.net,Silver,Standard,North
287,CUST00287,Amanda,Gibson,ortizalexander@example.net,Bronze,Wholesale,North
288,CUST00288,Cameron,White,nvaughan@example.com,Silver,Wholesale,South
289,CUST00289,Stefanie,Sanchez,obriencynthia@example.org,Bronze,Premium,East
290,CUST00290,Brittany,Morgan,csanchez@example.net,Platinum,Premium,North
291,CUST00291,Larry,Roberts,dcarr@example.net,Platinum,Wholesale,South
292,CUST00292,Mary,Reynolds,phawkins@example.net,Bronze,Premium,South
293,CUST00293,Kim,Johnson,amandawise@example.com,Platinum,Premium,East
294,CUST00294,Eric,Smith,jenniferjensen@example.net,Bronze,Standard,North
295,CUST00295,Linda,Harris,katherinestrickland@example.com,Silver,Standard,South
296,CUST00296,Leslie,Ortega,nicholas60@example.net,Gold,Premium,South
297,CUST00297,Frank,Garcia,michael06@example.net,Bronze,Wholesale,West
298,CUST00298,Karen,Williams,xgarcia@example.net,Bronze,Wholesale,West
299,CUST00299,Alexander,Mahoney,luisgomez@example.net,Gold,Standard,West
300,CUST00300,Diane,Palmer,hdyer@example.org,Platinum,Standard,South
301,CUST00301,Emily,Thornton,stephanie02@example.net,Bronze,Wholesale,West
302,CUST00302,William,Jenkins,lestercassandra@example.com,Silver,Standard,South
303,CUST00303,Lee,Smith,fergusonrose@example.com,Gold,Standard,West
304,CUST00304,Kelsey,Ramsey,ccollins@example.org,Silver,Standard,South
305,CUST00305,Brandon,Wilkinson,valdezmichele@example.com,Gold,Standard,East
306,CUST00306,Harry,Neal,angelahenry@example.org,Silver,Standard,South
307,CUST00307,Christina,Keith,kimberlybarrett@example.org,Silver,Premium,North
308,CUST00308,Angela,Martin,zacharyhall@example.com,Silver,Premium,East
309,CUST00309,Bradley,Blevins,sean41@example.net,Gold,Standard,North
310,CUST00310,Lori,Brooks,vburke@example.net,Bronze,Wholesale,North
311,CUST00311,David,Allen,jason95@example.com,Silver,Wholesale,South
312,CUST00312,Brian,Jones,nelsontraci@example.org,Bronze,Standard,South
313,CUST00313,Stephen,Valencia,williamstoni@example.org,Platinum,Standard,South
314,CUST00314,Kathleen,Miller,hooverjoseph@example.com,Silver,Premium,East
315,CUST00315,Malik,White,douglasheath@example.com,Platinum,Standard,South
316,CUST00316,Patrick,Hodges,simsjennifer@example.org,Platinum,Wholesale,South
317,CUST00317,Nina,Li,peggyking@example.org,Silver,Standard,East
318,CUST00318,Dylan,Esparza,thomastravis@example.net,Platinum,Premium,South
319,CUST00319,Jessica,Martin,josephbryant@example.com,Platinum,Wholesale,West
320,CUST00320,Katherine,Ware,rbanks@example.com,Platinum,Standard,South
321,CUST00321,Jesse,Noble,patrick54@example.com,Bronze,Standard,South
322,CUST00322,Heather,Jenkins,ipadilla@example.com,Bronze,Premium,North
323,CUST00323,Kimberly,Moore,christinesmith@example.net,Bronze,Standard,North
324,CUST00324,James,Collins,jerry09@example.com,Silver,Standard,North
325,CUST00325,Michael,Miller,umccarthy@example.net,Bronze,Standard,West
326,CUST00326,Eugene,Davis,zacharysantana@example.com,Platinum,Premium,West
327,CUST00327,Amanda,Reeves,haroldgrant@example.net,Bronze,Wholesale,North
328,CUST00328,Christina,Long,jerrybentley@example.net,Gold,Premium,South
329,CUST00329,Sandra,Walker,vickiclark@example.net,Gold,Premium,South
330,CUST00330,Bethany,Gutierrez,smithwilliam@example.net,Bronze,Wholesale,West
331,CUST00331,Toni,Miller,sarahrichards@example.org,Bronze,Premium,East
332,CUST00332,Justin,Willis,allendevon@example.org,Gold,Standard,West
333,CUST00333,Paula,Middleton,kimberlydrake@example.com,Bronze,Wholesale,South
334,CUST00334,Amanda,Brooks,christophercastro@example.net,Bronze,Premium,West
335,CUST00335,David,Tran,vanessa18@example.com,Silver,Premium,South
336,CUST00336,John,Hobbs,rthomas@example.net,Gold,Standard,North
337,CUST00337,George,Stewart,christophersmith@example.org,Platinum,Standard,South
338,CUST00338,Brian,Carr,donald68@example.org,Gold,Premium,South
339,CUST00339,Melissa,Brown,kayla23@example.com,Platinum,Premium,East
340,CUST00340,Kristen,Mcmillan,pbarrett@example.com,Gold,Wholesale,South
341,CUST00341,Richard,Barron,amandadixon@example.org,Gold,Premium,East
342,CUST00342,David,Richardson,monicatyler@example.com,Silver,Wholesale,North
343,CUST00343,Shelly,Richardson,jennifer61@example.com,Bronze,Premium,North
344,CUST00344,Ryan,Forbes,derek55@example.org,Silver,Standard,South
345,CUST00345,Laura,Thompson,woodwardchristopher@example.org,Silver,Premium,North
346,CUST00346,Laura,Washington,brookefigueroa@example.com,Platinum,Wholesale,West
347,CUST00347,Lisa,Nichols,bradley00@example.org,Bronze,Standard,North
348,CUST00348,George,Black,qbenson@example.net,Bronze,Wholesale,East
349,CUST00349,Jodi,Jacobs,smithdavid@example.com,Silver,Standard,North
350,CUST00350,Jason,Franco,isaaclindsey@example.com,Silver,Standard,South
351,CUST00351,Daniel,Stevens,ebaker@example.org,Gold,Premium,North
352,CUST00352,Ronald,Horn,gfitzgerald@example.org,Bronze,Standard,South
353,CUST00353,John,Jones,matthew01@example.org,Bronze,Wholesale,North
354,CUST00354,Susan,Thompson,melissa17@example.org,Gold,Standard,West
355,CUST00355,Michael,Mendez,tgomez@example.com,Gold,Wholesale,East
356,CUST00356,Ryan,Lopez,jacob06@example.org,Silver,Wholesale,East
357,CUST00357,Madison,Gonzalez,catherine93@example.net,Gold,Standard,North
358,CUST00358,Amanda,Lawson,louis20@example.org,Gold,Standard,North
359,CUST00359,Melanie,Buckley,dianegilbert@example.net,Bronze,Premium,South
360,CUST00360,Matthew,Velasquez,xperez@example.com,Platinum,Premium,West
361,CUST00361,Robert,Roth,holly19@example.org,Gold,Premium,South
362,CUST00362,Jessica,Cobb,james34@example.com,Silver,Standard,South
363,CUST00363,Tanya,Franklin,ramossamuel@example.com,Bronze,Wholesale,South
